Código,Espécie,Local de pouso,Local de pouso,Sexo,Data da captura,Hora de captura,Temperatura (°C),Umidade (%),Localidade,Latitude,Longitude,Ambiente,Mês,Armadilha,Coletadores,Observações Augusto
PTC 029,Stypommisa aripuana,7 E,Perna traseira,F,16.viii.2019,16:31,"30,6",59,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 030,Stypommisa aripuana,6 E,Perna dianteira,F,16.viii.2019,16:32,"30,4",59,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 031,Tabanus occidentalis,6 E,Perna dianteira,F,16.viii.2019,16:40,"30,2",60,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 032,Stypommisa aripuana,7 E,Perna traseira,F,16.viii.2019,16:41,"30,2",60,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 033,Stypommisa aripuana,6 D,Perna dianteira,F,16.viii.2019,16:44,"30,2",60,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 034,Leucotabanus exaestuans,11 D,Pescoço,F,16.viii.2019,17:23,"29,1",64,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 035,Stypommisa aripuana,6 D,Perna dianteira,F,16.viii.2019,17:37,"28,3",69,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 036,Leucotabanus exaestuans,2 D,Face,F,16.viii.2019,17:41,"28,1",69,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 037,Tabanus antarcticus,6 D,Perna dianteira,F,16.viii.2019,17:51,"27,1",69,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 038,Tabanus occidentalis var. modestus,6 E,Perna dianteira,F,17.viii.2019,8:59,"26,6",87,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 039,Tabanus macquarti,20 D,Peito,F,17.viii.2019,9:08,"23,9",86,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 040,Tabanus occidentalis var. modestus,6 D,Perna dianteira,F,17.viii.2019,9:48,"26,2",73,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 041,Tabanus occidentalis var. modestus,11 D,Pescoço,F,17.viii.2019,9:49,"26,2",73,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 042,Tabanus ?fuscofasciatus,7 D,Perna traseira,F,17.viii.2019,9:50,"26,2",73,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 043,Tabanus nebulosus,6 D,Perna dianteira,F,17.viii.2019,10:36,"28,3",67,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 044,Stypommisa aripuana,7 D,Perna traseira,F,17.viii.2019,10:43,"29,5",58,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 045,Stypommisa aripuana,20,Peito,F,17.viii.2019,10:47,"29,3",57,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 046,Stenotabanus incipiens,6 D,Perna dianteira,F,17.viii.2019,11:00,"30,3",53,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 047,Chrysops varians,1 D,Orelha,F,17.viii.2019,11:00,"30,8",53,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 048,Stypommisa aripuana,4 D,Quartela dianteira,F,17.viii.2019,11:30,31,49,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 049,Stypommisa aripuana,4 E,Quartela dianteira,F,17.viii.2019,11:41,"31,2",59,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 050,Tabanus mucronatus,12 E,Barriga,F,17.viii.2019,11:42,"31,2",52,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 051,Tabanus occidentalis var. dorsovittatus,12 D,Barriga,F,17.viii.2019,11:44,"31,2",52,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 052,Stypommisa aripuana,4 D,Quartela dianteira,F,17.viii.2019,12:24,"31,8",49,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 053,Stypommisa aripuana,20,Peito,F,17.viii.2019,12:28,"31,1",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 054,Tabanus rondoniensis sp.n.,20,Peito,F,17.viii.2019,12:38,"31,7",47,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 055,Stypommisa aripuana,4 D,Quartela dianteira,F,17.viii.2019,12:45,"32,4",45,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 056,Stypommisa aripuana,4 D,Quartela dianteira,F,17.viii.2019,12:52,"32,3",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 057,Stypommisa aripuana,14,Aparelho genital,F,17.viii.2019,13:12,"32,6",45,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 058,Stypommisa aripuana,4 D,Quartela dianteira,F,17.viii.2019,13:19,"32,5",46,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 059,Stypommisa aripuana,4 D,Quartela dianteira,F,17.viii.2019,13:21,"32,5",47,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 060,Stypommisa aripuana,20,Peito,F,17.viii.2019,13:27,"32,6",47,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 061,Stypommisa aripuana,12 C,Barriga,F,17.viii.2019,13:28,"32,4",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 062,Stypommisa aripuana,4D,Quartela dianteira,F,17.viii.2019,13:29,"32,4",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 063,Stypommisa aripuana,4D,Quartela dianteira,F,17.viii.2019,13:30,"32,4",49,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 064,Stypommisa aripuana,4 D,Quartela dianteira,F,17.viii.2019,13:47,"32,4",47,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 065,Stypommisa aripuana,11 C,Pescoço,F,17.viii.2019,13:59,"32,6",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 066,Stypommisa aripuana,8 D,Perna traseira,F,17.viii.2019,14:09,"31,7",47,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 067,Stypommisa aripuana,20 C,Peito,F,17.viii.2019,14:12,"32,2",46,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 068,Tabanus restrepoensis,4 D,Quartela dianteira,F,17.viii.2019,14:17,"32,6",45,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 069,Stypommisa aripuana,14,Aparelho genital,F,17.viii.2019,14:20,"32,7",41,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 070,Stypommisa aripuana,4 D,Quartela dianteira,F,17.viii.2019,14:32,"33,1",41,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 071,Stypommisa aripuana,20,Peito,F,17.viii.2019,14:50,"33,1",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 072,Stypommisa aripuana,12 E,Barriga,F,17.viii.2019,15:00,"32,3",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 073,Stypommisa aripuana,8 D,Perna traseira,F,17.viii.2019,15:01,"32,3",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 074,Stypommisa aripuana,12 D,Barriga,F,17.viii.2019,15:10,"32,6",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 075,Stypommisa aripuana,6 D,Perna dianteira,F,17.viii.2019,15:12,"32,7",45,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 076,Stypommisa aripuana,12 D,Barriga,F,17.viii.2019,15:18,"32,4",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 077,Stypommisa aripuana,12 D,Barriga,F,17.viii.2019,15:18,"32,4",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 078,Stypommisa aripuana,12 D,Barriga,F,17.viii.2019,15:23,"32,6",49,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 079,Stypommisa aripuana,12 D,Barriga,F,17.viii.2019,15:30,"32,6",49,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 080,Tabanus occidentalis var. dorsovittatus,6 D,Perna dianteira,F,17.viii.2019,15:50,"30,5",64,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 081,Stypommisa aripuana,11 D,Pescoço,F,17.viii.2019,16:00,"30,3",66,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 082,Stypommisa aripuana,8 E,Perna traseira,F,17.viii.2019,16:05,"30,1",67,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
