Código,Espécie,Local de pouso,Local de pouso,Sexo,Data da captura,Hora de captura,Temperatura (°C),Umidade (%),Localidade,Latitude,Longitude,Ambiente,Mês,Armadilha,Coletadores,Observações Augusto
PTC 123,Stypommisa aripuana,18 E,Perna traseira,F,20.vii.2019,15:16,"31,9",57,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 124,Tabanus occidentalis var. modestus,7 E,Perna traseira,F,20.vii.2019,16:10,"31,5",58,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 125,Tabanus occidentalis,7 D,Perna traseira,F,20.vii.2019,17:26,"28,8",70,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 126,Tabanus occidentalis,7 E,Perna traseira,F,20.vii.2019,17:27,"28,8",72,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 127,Tabanus occidentalis,6 D,Perna dianteira,F,20.vii.2019,17:31,"28,7",73,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 128,Tabanus occidentalis,6 D,Perna dianteira,F,20.vii.2019,17:32,"28,7",73,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 129,Tabanus occidentalis,8 E,Perna traseira,F,20.vii.2019,17:42,"28,5",74,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 130,Tabanus antarcticus,8 E,Perna traseira,F,20.vii.2019,17:44,"28,5",74,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 131,Tabanus occidentalis,9 D,Perna traseira,F,20.vii.2019,17:47,"28,5",74,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 132,Tabanus antarcticus,9 D,Perna traseira,F,20.vii.2019,17:56,"28,2",74,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 133,Tabanus occidentalis,6 E,Perna dianteira,F,20.vii.2019,17:57,"28,2",74,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 134,Pityocera cervus,9 D,Perna traseira,F,22.xi.2019,6:35,"24,5",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 135,Philipotabanus pictus,7 D,Perna traseira,F,22.xi.2019,6:52,"24,2",99,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 136,Philipotabanus pictus,12,Barriga,F,22.xi.2019,9:57,25,99,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 137,Stenotabanus albilinearis,6 E,Perna dianteira,F,22.xi.2019,10:30,"26,2",97,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 138,Stenotabanus albilinearis,6 D,Perna dianteira,F,22.xi.2019,12:40,"27,5",87,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 139,Stenotabanus albilinearis,7 E,Perna traseira,F,22.xi.2019,13:04,"27,7",88,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 140,Tabanus mucronatus,7 E,Perna traseira,F,22.xi.2019,13:10,"27,7",89,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 141,Stenotabanus albilinearis,6D,Perna dianteira,F,22.xi.2019,13:21,"27,4",86,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 142,Tabanus occidentalis var. dorsovittatus,6 E,Perna dianteira,F,22.xi.2019,13:29,"27,5",88,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 143,Tabanus occidentalis,6 D,Perna dianteira,F,22.xi.2019,13:38,"27,3",88,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 144,Tabanus mucronatus,16 D,Perna traseira,F,22.xi.2019,13:48,"27,7",84,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 145,Dichelacera tetradelta,9 E,Perna traseira,F,22.xi.2019,14:00,"27,3",89,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 146,Stenotabanus albilinearis,6 D,Perna dianteira,F,22.xi.2019,14:03,"27,2",88,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 147,Tabanus mucronatus,12,Barriga,F,22.xi.2019,14:05,"27,2",81,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 148,Stenotabanus albilinearis,6 E,Perna dianteira,F,22.xi.2019,14:12,"27,3",82,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 149,Tabanus mucronatus,6D,Perna dianteira,F,22.xi.2019,14:26,"27,4",91,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 150,Leucotabanus exaestuans,2 E,Face,F,22.xi.2019,15:00,"27,4",91,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 151,Tabanus occidentalis,6 E,Perna dianteira,F,22.xi.2019,15:20,"27,6",93,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 152,Tabanus occidentalis,6 E,Perna dianteira,F,22.xi.2019,15:35,"27,6",93,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 153,Tabanus antarcticus,6 D,Perna dianteira,F,22.xi.2019,16:16,"27,4",92,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 154,Tabanus antarcticus,7 D,Perna traseira,F,22.xi.2019,16:25,"27,3",93,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 155,Tabanus antarcticus,7 D,Perna traseira,F,22.xi.2019,16:41,27,92,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 156,Tabanus mucronatus,7 D,Perna traseira,F,22.xi.2019,16:53,27,93,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 157,Tabanus antarcticus,16 E,Perna traseira,F,22.xi.2019,16:57,"26,9",94,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 158,Stenotabanus albilinearis,18 E,Perna traseira,F,22.xi.2019,16:59,"26,9",94,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 159,Tabanus antarcticus,9 E,Perna traseira,F,22.xi.2019,17:06,"26,9",94,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 160,Tabanus mucronatus,4 D,Quartela dianteira,F,22.xi.2019,17:10,"26,8",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 161,Tabanus antarcticus,9 E,Perna traseira,F,22.xi.2019,17:24,"26,7",96,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 162,Tabanus antarcticus,6 D,Perna dianteira,F,22.xi.2019,17:30,"26,7",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 163,Tabanus antarcticus,6 D,Perna dianteira,F,22.xi.2019,17:32,"26,7",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 164,Tabanus antarcticus,5 E,Quartela traseira,F,22.xi.2019,17:35,"26,6",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 165,Tabanus antarcticus,8 D,Perna traseira,F,22.xi.2019,17:37,"26,6",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 166,Tabanus antarcticus,12 E,Barriga,F,22.xi.2019,17:38,"26,6",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,sem cabeça
PTC 167,Leucotabanus exaestuans,11 E,Pescoço,F,22.xi.2019,17:44,"26,7",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 168,Tabanus antarcticus,7 D,Perna traseira,F,22.xi.2019,17:45,"26,6",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 169,Tabanus antarcticus,6 D,Perna dianteira,F,22.xi.2019,17:46,"26,6",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 170,Tabanus antarcticus,6 E,Perna dianteira,F,22.xi.2019,17:47,"26,6",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 171,Tabanus antarcticus,6 E,Perna dianteira,F,22.xi.2019,17:52,"26,6",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 172,Tabanus antarcticus,7 E,Perna traseira,F,22.xi.2019,17:52,"26,6",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 173,Tabanus antarcticus,7 D,Perna traseira,F,22.xi.2019,17:53,"26,6",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 174,Tabanus antarcticus,7 E,Perna traseira,F,22.xi.2019,17:54,"26,6",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 175,Tabanus antarcticus,12 D,Barriga,F,22.xi.2019,17:56,"26,5",96,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 176,Tabanus mucronatus,7 E,Perna traseira,F,22.xi.2019,17:58,"26,5",96,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 177,Tabanus occidentalis,7D,Perna traseira,F,23.xi.2019,8:24,"24,6",99,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 178,Stenotabanus albilinearis,6E,Perna dianteira,F,23.xi.2019,9:06,"25,7",99,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 179,Stenotabanus albilinearis,6E,Perna dianteira,F,23.xi.2019,10:30,"26,3",99,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 180,Stenotabanus albilinearis,6E,Perna dianteira,F,23.xi.2019,10:40,"26,5",95,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 181,Stypommisa modica,18D,Perna traseira,F,23.xi.2019,11:32,"27,7",94,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 182,Stenotabanus albilinearis,6D,Perna dianteira,F,23.xi.2019,11:38,"27,6",89,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 183,Tabanus discifer,6E,Perna dianteira,F,23.xi.2019,13:17,"27,7",93,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 184,Tabanus occidentalis,6D,Perna dianteira,F,23.xi.2019,13:24,"28,8",86,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 185,Tabanus mucronatus,4D,Quartela dianteira,F,23.xi.2019,13:45,28,85,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 186,Tabanus antarcticus,7D,Perna traseira,F,23.xi.2019,13:55,28,90,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 187,Tabanus occidentalis var. modestus,6E,Perna dianteira,F,23.xi.2019,14:05,"28,2",87,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 188,Tabanus mucronatus,12,Barriga,F,23.xi.2019,17:45,"24,9",99,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 189,Stypommisa captiroptera,6D,Perna dianteira,F,25.xi.2019,6:00,25,87,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 190,Stypommisa apicalis,9E,Perna traseira,F,25.xi.2019,6:10,"24,1",90,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 191,Leucotabanus pauculus,6E,Perna dianteira,F,25.xi.2019,6:13,"24,1",90,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 192,Pityocera cervus,6E,Perna dianteira,F,25.xi.2019,6:15,"24,1",91,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 193,Dichelacera tetradelta,7D,Perna traseira,F,25.xi.2019,6:38,"23,9",99,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 194,Tabanus occidentalis,6E,Perna dianteira,F,25.xi.2019,7:22,"25,1",96,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 195,Catachlorops difficilis,8D,Perna traseira,F,25.xi.2019,7:25,"25,2",96,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 196,Tabanus occiedntalis,6D,Perna dianteira,F,25.xi.2019,7:32,"25,3",96,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 197,Tabanus occidentalis var.modestus,9E,Perna traseira,F,25.xi.2019,7:46,"25,6",95,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 198,Tabanus occidentalis var.modestus,7D,Perna traseira,F,25.xi.2019,7:58,"25,8",96,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 199,Catachlorops difficilis,4E,Quartela dianteira,F,25.xi.2019,8:05,"25,8",96,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 200,Catachlorops difficilis,6E,Perna dianteira,F,25.xi.2019,8:56,"26,7",93,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 201,Dichelacera tetradelta,6E,Perna dianteira,F,25.xi.2019,9:00,"26,9",90,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 202,Phaeotabanus nigriflavus,3,Narina,F,25.xi.2019,9:10,"27,4",90,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,sem álcool
PTC 203,Acanthocera fairchildi,13,Dorso,F,25.xi.2019,9:31,"27,9",89,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 204,Acanthocera fairchildi,1E,Orelha,F,25.xi.2019,9:33,28,87,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 205,Stenotabanus incipiens,6E,Perna dianteira,F,25.xi.2019,9:44,"28,2",87,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 206,Acanthocera fairchildi,13,Dorso,F,25.xi.2019,9:50,"28,6",86,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 207,Stypommisa modica,14,Aparelho genital,F,25.xi.2019,10:15,"29,4",79,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 208,Tabanus occidentalis var. dorsovittatus,6E,Perna dianteira,F,25.xi.2019,10:25,"29,6",80,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 209,Stypommisa modica,6E,Perna dianteira,F,25.xi.2019,10:26,"29,6",80,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 210,Tabanus occidentalis var. modestus,6E,Perna dianteira,F,25.xi.2019,10:28,"29,5",80,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 211,Dichelacera tetradelta,17D,Perna traseira,F,25.xi.2019,10:55,"29,9",78,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 212,Dichelacera tetradelta,7E,Perna traseira,F,25.xi.2019,10:57,"29,7",73,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,sem álcool
PTC 213,Acanthocera fairchildi,13,Dorso,F,25.xi.2019,11:05,"29,9",78,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 214,Acanthocera fairchildi,13,Dorso,F,25.xi.2019,11:18,"30,9",72,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 215,Dichelacera tetradelta,13,Dorso,F,25.xi.2019,11:36,"30,2",73,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 216,Dichelacera tetradelta,6E,Perna dianteira,F,25.xi.2019,11:51,30,80,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 217,Tabanus occidentalis var. modestus,7D,Perna traseira,F,25.xi.2019,12:16,"30,1",77,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 218,Stenotabanus incipiens,1E,Orelha,F,25.xi.2019,13:32,"31,5",72,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 219,Tabanus occidentalis,8E,Perna traseira,F,25.xi.2019,13:38,"31,5",74,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 220,Stenotabanus incipiens,4E,Quartela dianteira,F,25.xi.2019,13:56,"31,2",72,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 221,Stenotabanus incipiens,7D,Perna traseira,F,25.xi.2019,14:00,"31,1",73,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 222,Stenotabanus incipiens,7E,Perna traseira,F,25.xi.2019,15:40,"31,6",71,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 223,Catachlorops difficilis,8D,Perna traseira,F,25.xi.2019,15:43,"31,5",72,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 224,Dichelacera tetradelta,8E,Perna traseira,F,25.xi.2019,15:50,"31,5",70,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 225,Dichelacera tetradelta,12,Barriga,F,25.xi.2019,16:35,"30,6",76,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 226,Tabanus occidentalis var. modestus,7E,Perna traseira,F,25.xi.2019,16:51,"30,3",80,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 227,Dichelacera tetradelta,6D,Perna dianteira,F,25.xi.2019,17:04,"30,3",79,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 228,Catachlorops difficilis,8E,Perna traseira,F,25.xi.2019,17:25,"30,7",79,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 229,Stypommisa apicalis,12,Barriga,F,25.xi.2019,17:26,"30,5",79,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 230,Tabanus antarcticus,7D,Perna traseira,F,25.xi.2019,17:47,"29,5",82,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 231,Stypommisa apicalis,8D,Perna traseira,F,25.xi.2019,17:55,"28,7",86,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 232,Pityocera cervus,8E,Perna traseira,F,26.xi.2019,6:00,"28,8",90,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 233,Pityocera cervus,6D,Perna dianteira,F,26.xi.2019,6:10,"25,2",91,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 234,Dichelacera tetradelta,3,Narina,F,26.xi.2019,8:17,"26,7",95,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 235,Stenotabanus incipiens,7D,Perna traseira,F,26.xi.2019,8:23,"26,7",95,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 236,Tabanus occidentalis var. modestus,7D,Perna traseira,F,26.xi.2019,10:35,"30,2",81,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 237,Dichelacera tetradelta,4D,Quartela dianteira,F,26.xi.2019,11:05,"31,3",70,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 238,Tabanus occidentalis var. modestus,7D,Perna traseira,F,26.xi.2019,12:10,32,69,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 239,Stenotabanus incipiens,19,Rabo,F,26.xi.2019,14:09,"32,9",64,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 240,Tabanus trivittatus,9E,Perna traseira,F,26.xi.2019,15:14,"32,3",66,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 241,Tabanus occidentalis,6E,Perna dianteira,F,26.xi.2019,15:44,"32,2",65,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 242,Tabanus occidentalis var. dorsovittatus,7D,Perna traseira,F,26.xi.2019,15:06,"31,9",69,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 243,Dichelacera tetradelta,7E,Perna traseira,F,26.xi.2019,16:06,"31,9",69,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 244,Tabanus occidentalis,6D,Perna dianteira,F,26.xi.2019,16:19,31,73,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 245,Tabanus occidentalis,7D,Perna traseira,F,26.xi.2019,17:15,"30,8",80,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,MARLON,
PTC 246,Tabanus occidentalis,6D,Perna dianteira,F,26.xi.2019,17:18,"30,7",82,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
PTC 247,Tabanus occidentalis var. modestus,6D,Perna dianteira,F,26.xi.2019,17:19,"30,7",82,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Novembro,Cavalo com puçá,TALLITA,
