Código,Espécie,Sexo,Localidade,Latitude,Longitude,Ambiente,Armadilha,Condição da armadilha,Mês,Data de ligação,Data de reposição do álcool,Data de retirada,Temperatura média (°C),Umidade média (%),Velocidade do vento média (m/s),Chuva média (mm),Pressão média (hPa),Pto. Orvalho média (°C)
TabRO 0025,Tabanus occidentalis var. modestus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0026,Tabanus occidentalis var. dorsovittatus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0027,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0028,Pityocera pernaquila,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0029,Leucotabanus exaestuans,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0030,Tabanus occidentalis var. modestus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0031,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0032,Tabanus piceiventris,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0033,Tabanus piceiventris,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0034,Pityocera pernaquila,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0035,Tabanus piceiventris,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0036,Pityocera pernaquila,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0037,Diachlorus fuscistigma,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0038,Diachlorus curvipes,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0039,Chrysops variegatus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0040,Diachlorus curvipes,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0041,Tabanus discifer,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0042,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0043,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0044,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0045,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0046,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0047,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0048,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0049,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
